0,0,8,12,-1,-1,-1,-1,-1,-1
1,0.0353074,8,12,-1,-1,-1,-1,-1,-1
2,0.182032,781,2688,-1,-1,-1,-1,-1,-1
3,0.16734,781,2688,-1,-1,-1,-1,-1,-1
4,0.0585526,2412,4752,-1,-1,-1,-1,-1,-1
5,1.12577,5578,28805,-1,-1,-1,-1,-1,-1
6,0.014854,5578,28805,0,0.478734,3.14159,2.23325,1e+50,3.47162e+45
8,0.273885,985,4443,0.171763,0.698702,2.89247,1.85246,11.2787,4.24786
7,0.296743,39049,196591,0.150438,0.734582,2.8892,1.84921,11.5736,4.18344
8,0.789259,19802,101717,0.171763,0.794743,2.8892,1.78858,9.92017,3.82735
9,0.612928,19802,101835,0.213218,0.797999,2.85229,1.77789,9.15355,3.79683
10,0.533555,19802,101835,0.284891,0.850968,2.64726,1.72825,6.56795,3.59474
8,0.296903,18558,95065,0.324097,0.854746,2.6228,1.72341,6.4236,3.58015
12,0.0800746,7011,34557,0.339123,0.880931,2.58075,1.69855,5.85541,3.50204
13,-1,0,-1,-1,-1,-1,-1,-1,-1
